time,node,cpu,ram,disk,latency,throughput,received,outputs
02:41:39,pi1-512,93.0,38.2,93.9,14.8,250.3,3031,606
02:41:39,pi5-8,9.8,18.1,36.2,19.0,246.7,3048,609
02:41:40,pi4-1,0.4,61.0,0.9,19.1,252.0,3199,639
02:41:41,pi5-16,2.8,29.0,5.9,19.1,249.9,3433,686
02:41:41,pi1-512,93.0,38.2,93.9,14.9,249.6,3533,706
02:41:41,pi5-8,14.4,18.1,36.2,19.0,253.6,3552,710
02:41:42,pi4-1,0.8,61.0,0.9,18.9,250.0,3700,740
02:41:43,pi5-16,2.3,28.9,5.9,19.1,249.9,3933,786
02:41:43,pi1-512,95.5,38.2,93.9,14.9,250.3,4039,807
02:41:43,pi5-8,6.7,18.1,36.2,19.0,249.6,4053,810
02:41:44,pi4-1,0.3,61.0,0.9,19.0,245.8,4192,838
02:41:45,pi5-16,1.2,29.0,5.9,19.1,249.9,4433,886
02:41:45,pi5-8,1.5,18.1,36.2,19.0,250.1,4553,910
02:41:45,pi1-512,93.0,38.2,93.9,14.8,250.3,4547,909
02:41:46,pi4-1,0.3,61.0,0.9,18.8,249.3,4691,938
02:41:47,pi5-16,0.8,28.9,5.9,19.4,252.4,4940,988
02:41:47,pi5-8,1.3,18.1,36.2,19.2,247.1,5051,1010
02:41:47,pi1-512,93.0,38.2,93.9,14.8,249.8,5053,1010
02:41:48,pi4-1,0.4,61.0,0.9,19.1,250.3,5192,1038
02:41:49,pi5-16,0.9,28.9,5.9,18.9,252.4,5443,1088
02:41:49,pi5-8,7.0,18.1,36.2,18.6,253.0,5555,1111
02:41:49,pi1-512,92.6,38.2,93.9,14.9,249.5,5555,1110
02:41:50,pi4-1,0.4,61.0,0.9,19.0,249.8,5692,1138
02:41:51,pi5-16,0.8,28.9,5.9,19.1,249.9,5943,1188
02:41:51,pi5-8,14.7,18.2,36.2,19.0,250.2,6056,1211
02:41:51,pi1-512,93.0,38.2,93.9,14.8,249.2,6062,1212
02:41:52,pi4-1,0.6,61.0,0.9,19.1,250.3,6193,1238
02:41:53,pi5-16,0.6,28.9,5.9,19.1,249.9,6443,1288
02:41:53,pi5-8,4.0,18.2,36.2,19.0,249.7,6556,1311
02:41:53,pi1-512,93.0,38.2,93.9,14.7,250.4,6566,1313
02:41:54,pi4-1,0.6,61.0,0.9,19.1,254.4,6703,1340
02:41:55,pi5-16,1.0,28.9,5.9,19.1,249.9,6944,1388
02:41:55,pi5-8,7.0,18.1,36.2,19.0,250.1,7057,1411
02:41:56,pi1-512,93.0,38.2,93.9,14.9,250.4,7070,1413
02:41:56,pi4-1,0.3,61.0,0.9,18.9,250.0,7204,1440
02:41:57,pi5-16,0.8,28.9,5.9,19.1,245.4,7434,1486
02:41:57,pi5-8,1.6,18.1,36.2,19.0,250.2,7558,1511
02:41:58,pi1-512,92.5,38.2,93.9,14.7,249.5,7577,1515
02:41:58,pi4-1,0.6,60.9,0.9,18.9,249.9,7705,1541
02:41:59,pi5-16,0.9,28.9,5.9,19.1,249.9,7934,1586
02:41:59,pi5-8,8.6,18.3,36.2,19.0,250.2,8059,1611
02:42:00,pi1-512,92.5,38.2,93.9,14.9,248.7,8078,1615
02:42:00,pi4-1,0.4,60.9,0.9,19.0,249.8,8205,1641
02:42:01,pi5-16,0.7,29.0,5.9,19.2,254.9,8444,1688
02:42:01,pi5-8,3.0,18.3,36.2,19.0,249.7,8559,1711
02:42:02,pi1-512,94.0,38.2,93.9,14.6,253.0,8587,1717
02:42:02,pi4-1,0.3,60.9,0.9,18.8,245.3,8696,1739
02:42:03,pi5-16,0.9,29.0,5.9,19.1,249.9,8944,1788
02:42:03,pi5-8,18.6,18.2,36.2,18.8,250.2,9060,1812
02:42:04,pi1-512,91.5,38.2,93.9,15.1,246.7,9083,1816
02:42:04,pi4-1,0.5,60.9,0.9,19.0,250.3,9197,1839
02:42:05,pi5-16,0.8,28.9,5.9,19.1,248.9,9444,1888
02:42:05,pi5-8,8.3,18.3,36.2,19.0,249.6,9561,1912
